status,price,type,rarity,bundle_size,title
on_sale,300,single,unknown,1,ずとまよカード 電撃鍵
on_sale,300,single,unknown,1,ずとまよカード 脳裏上の勘覧車
on_sale,300,bundle,unknown,0,ずとまよカード 猫リセット セット
on_sale,455,bundle,unknown,0,ずとまよカード 胸の煙 セット トリにらちゃん
on_sale,599,single,unknown,1,ずとまよカード にらちゃん （ハゼ馳せる果てるまで）
on_sale,999,single,unknown,1,ずとまよカード 廃盤電機工業（株）研究所 （Ham）
on_sale,300,single,unknown,1,ずとまよカード インク猫ケルベロス
on_sale,300,single,unknown,1,ずとまよカード キラメイクアップ
on_sale,300,single,unknown,1,ずとまよカード 稲妻のレンジ
on_sale,444,single,unknown,1,ずとまよカード 希求
on_sale,555,single,unknown,1,ずとまよカード第4弾026
on_sale,555,single,unknown,1,ずとまよカード第4弾018
on_sale,700,single,unknown,1,ずとまよカード　にらちゃん(ミラーチューン)
on_sale,333,single,SR,1,ずとまよカード SR 031 配達中
on_sale,500,single,SR,1,ずとまよカード SR 028 湯船で打ち上げ
on_sale,999,single,SR,1,ずとまよカード 第2弾 SR 023 にらちゃん(綺羅キラー)
on_sale,500,single,SR,1,ずとまよカード SR 019 グレイ(ミラーチューン)
on_sale,333,single,SR,1,ずとまよカード SR 015 アカシュモクザメ遊具
on_sale,333,single,SR,1,ずとまよカード SR 012 にらちゃん(あいつら全員同窓会)
on_sale,2220,bundle,unknown,0,ずとまよカードSR　まとめ売り 即購入⭕️
on_sale,1222,single,unknown,1,ずっと真夜中でいいのに。 ずとまよカード にらちゃん 正義
on_sale,3000,single,unknown,1,ずとまよカード 008 URキラメイド出動！ 綺羅キラー ZUTOMAYO
on_sale,399,single,unknown,1,ずとまよカード にらちゃん （勘冴えて悔しいわ）
on_sale,300,single,unknown,1,ずとまよカード アカシュモクザメ遊具
on_sale,349,single,unknown,1,ずとまよカード にらちゃん （勘ぐれい）
on_sale,333,bundle,unknown,4,ずとまよカード うにぐり セット 4弾 4枚
on_sale,300,single,unknown,1,ずとまよカード 思い出のカメラ ズトマヨカクテル
on_sale,399,single,unknown,1,ずとまよカード ZUTOMAYO SQUARE
on_sale,300,single,unknown,1,ずとまよカード 奥の手
on_sale,300,single,unknown,1,ずとまよカード にらちゃん （勘ぐれい）
on_sale,666,single,SR,1,ずとまよカード第4弾 SR にらちゃん（勘ぐれい） No.019
on_sale,555,single,SR,1,ずとまよカード 第4弾 共に未来へ SR（No.31）
on_sale,5900,bundle,SR,14,ずとまよカード 第四弾 SR １４枚セット ZUTOMAYO CARD
on_sale,666,single,unknown,1,ずとまよカード 027 うにぐりナポリタン　ずっと真夜中でいいのに。　うにぐり
on_sale,777,single,SR,1,ずとまよカード 032 SR 希求 ずっと真夜中でいいのに。 にらちゃん
on_sale,2399,irrelevant,—,0,ずっと真夜中でいいのに。ずとまよ　ずとまよカード　正義　ロンT 白　Lサイズ
on_sale,888,single,SR,1,ZUTOMAYO にらちゃん (TAIDADA) SR ずとまよカード
on_sale,888,single,unknown,1,ずとまよカード　にらちゃん　TAIDADA
on_sale,1500,bundle,R,0,ずとまよカード 第1弾 N.R まとめ売り セット
on_sale,300,single,SR,1,ずとまよカード 第1弾 SR 010 にらちゃん(胸の煙)
on_sale,333,single,SR,1,ずとまよカード 第1弾 SR 032 インク猫ケルベロス
on_sale,333,single,unknown,1,ずとまよカード 第1弾 洗車中 SR031
on_sale,500,single,SR,1,ずとまよカード 第1弾 SR 016 秒針を噛む にらちゃん
on_sale,777,single,SR,1,ずとまよカード 第1弾 011 SR にらちゃん(ばかじゃないのに) ニラちゃん
on_sale,399,single,unknown,1,ずとまよカード 仲間のドクロ
on_sale,1000,single,unknown,1,ずとまよカード４弾　SR24 にらちゃん
on_sale,7000,bundle,R,35,ずとまよカード　第3弾　R 35枚　まとめ売り
on_sale,4200,single,PR,1,ずとまよカード　ご当地限定　人形焼うにぐり
on_sale,4200,single,UR,1,ずとまよカード UR+ 原宿ポップアップストア
on_sale,42999,single,SEC,1,ずとまよカード にらちゃん （シェードの埃は延長） ゴールド 金
on_sale,1400,bundle,unknown,2,ずとまよカード　2枚セット
on_sale,1333,single,UR,1,ずとまよカード にらちゃん(Ham) 第1弾 UR 004
on_sale,1455,bundle,unknown,3,ずとまよカード　にらちゃん　3枚
